age,education,marital-status,relationship,sex,income
,HS-grad,Married-civ-spouse,Husband,Male,>50K
23.0,HS-grad,,Not-in-family,,<=50K
35.0,7th-8th,,,,<=50K
58.0,,Married-civ-spouse,,Male,<=50K
19.0,HS-grad,Never-married,Own-child,,<=50K
19.0,7th-8th,,Not-in-family,Male,
68.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
,Some-college,Married-civ-spouse,Husband,,
17.0,11th,Never-married,Own-child,,
53.0,,,,,>50K
37.0,Doctorate,Married-civ-spouse,Husband,,
21.0,,Never-married,,Male,<=50K
63.0,HS-grad,Married-civ-spouse,Husband,,
31.0,Some-college,Married-spouse-absent,Unmarried,,<=50K
29.0,HS-grad,Married-civ-spouse,Husband,Male,
43.0,,Married-civ-spouse,Husband,Male,
27.0,Prof-school,Never-married,Not-in-family,Female,
25.0,HS-grad,,Other-relative,,
28.0,,Never-married,Not-in-family,,<=50K
54.0,HS-grad,Divorced,,,
74.0,Some-college,Widowed,Not-in-family,,<=50K
31.0,Some-college,Never-married,,Female,<=50K
23.0,Some-college,Never-married,Not-in-family,Male,<=50K
19.0,,Never-married,Own-child,,<=50K
39.0,,Widowed,Not-in-family,,
61.0,HS-grad,Married-civ-spouse,,Female,
59.0,HS-grad,Married-civ-spouse,Wife,Female,>50K
27.0,,,Wife,,>50K
19.0,Some-college,Never-married,Own-child,,
23.0,,Never-married,Own-child,,
25.0,HS-grad,Divorced,Not-in-family,,
40.0,Some-college,Married-civ-spouse,Husband,,>50K
53.0,11th,Divorced,Not-in-family,Female,
32.0,Bachelors,Never-married,,Male,<=50K
72.0,Doctorate,Married-civ-spouse,Husband,Male,
61.0,7th-8th,Married-civ-spouse,Husband,Male,
42.0,HS-grad,Married-civ-spouse,Husband,,<=50K
,10th,Never-married,Own-child,,<=50K
73.0,HS-grad,,Husband,Male,<=50K
41.0,,Separated,Not-in-family,,<=50K
23.0,Some-college,Never-married,,Female,
23.0,HS-grad,Never-married,Not-in-family,Female,<=50K
65.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
,HS-grad,Married-civ-spouse,,Female,
52.0,Bachelors,Married-civ-spouse,,Male,>50K
24.0,Bachelors,Never-married,Own-child,,
23.0,,Married-civ-spouse,,Male,
30.0,,Divorced,,,
26.0,,,,Male,
37.0,HS-grad,,,Male,<=50K
17.0,,Never-married,Own-child,,
31.0,,Married-civ-spouse,Husband,,<=50K
52.0,,Separated,,,
63.0,Bachelors,Never-married,Not-in-family,Male,<=50K
27.0,HS-grad,,Not-in-family,,
31.0,9th,,Husband,,
71.0,,Widowed,Not-in-family,Female,<=50K
35.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
44.0,HS-grad,Married-civ-spouse,Wife,Female,
36.0,,Married-civ-spouse,Husband,Male,<=50K
22.0,Bachelors,Never-married,Other-relative,Female,<=50K
,,Married-civ-spouse,Husband,Male,<=50K
30.0,Bachelors,Divorced,Unmarried,,<=50K
60.0,HS-grad,Married-civ-spouse,,Male,<=50K
25.0,,Never-married,Own-child,Female,
76.0,7th-8th,Widowed,Not-in-family,,
,HS-grad,Divorced,Not-in-family,,<=50K
26.0,,Married-civ-spouse,,Male,<=50K
45.0,12th,Married-civ-spouse,,Male,
32.0,Some-college,Divorced,Unmarried,,
,HS-grad,Never-married,Not-in-family,Male,<=50K
,Bachelors,Married-civ-spouse,Husband,Male,
63.0,Bachelors,Never-married,,Male,
23.0,Assoc-acdm,,Unmarried,,<=50K
61.0,10th,Married-civ-spouse,Husband,,<=50K
31.0,,Married-civ-spouse,Husband,,<=50K
25.0,9th,,Husband,,<=50K
33.0,HS-grad,Never-married,Own-child,Female,<=50K
39.0,,Married-civ-spouse,Wife,,
,Bachelors,Married-civ-spouse,,,
26.0,,Never-married,,Female,<=50K
,,Never-married,Own-child,,
18.0,,Never-married,,Male,
34.0,Bachelors,Married-civ-spouse,Husband,,>50K
44.0,Masters,Married-civ-spouse,,Male,
31.0,,Divorced,,,<=50K
44.0,HS-grad,Married-civ-spouse,,Male,>50K
42.0,Prof-school,Married-civ-spouse,Husband,Male,>50K
43.0,,Married-civ-spouse,Husband,Male,
33.0,Bachelors,Married-civ-spouse,,,
21.0,,Never-married,Own-child,,<=50K
30.0,HS-grad,,Husband,Male,>50K
55.0,HS-grad,Married-civ-spouse,,,<=50K
57.0,,Never-married,Not-in-family,,<=50K
37.0,HS-grad,Never-married,Not-in-family,,<=50K
32.0,HS-grad,,,Male,
62.0,,Married-civ-spouse,Husband,Male,>50K
31.0,Bachelors,Never-married,Not-in-family,Male,>50K
51.0,,Married-civ-spouse,,Male,
37.0,Masters,,Unmarried,Female,<=50K
45.0,5th-6th,Married-civ-spouse,Husband,Male,
47.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
31.0,HS-grad,,,,<=50K
75.0,11th,Married-civ-spouse,Husband,,<=50K
43.0,Masters,,Husband,Male,
39.0,Assoc-acdm,Married-civ-spouse,Husband,Male,
30.0,,,Husband,,>50K
27.0,5th-6th,,,,
44.0,,,Husband,Male,<=50K
53.0,Masters,,Not-in-family,,>50K
,Bachelors,Married-civ-spouse,Husband,,<=50K
18.0,,,Own-child,Female,<=50K
,Bachelors,Married-civ-spouse,Husband,Male,
20.0,HS-grad,Never-married,,,
,Some-college,Married-civ-spouse,Husband,,<=50K
,HS-grad,Divorced,Not-in-family,,<=50K
46.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
51.0,,Married-civ-spouse,Husband,,
35.0,,,Other-relative,,
24.0,7th-8th,Never-married,Other-relative,,<=50K
30.0,Some-college,Divorced,,,
70.0,HS-grad,,Husband,,<=50K
,,Married-civ-spouse,Husband,,<=50K
34.0,HS-grad,Married-civ-spouse,Husband,Male,
46.0,HS-grad,Married-civ-spouse,Husband,,>50K
70.0,,,Wife,,
37.0,,Married-civ-spouse,Husband,,<=50K
36.0,Some-college,Divorced,Unmarried,,<=50K
23.0,,Never-married,Other-relative,,
28.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
44.0,Some-college,Married-civ-spouse,Husband,,>50K
,HS-grad,Divorced,Not-in-family,,<=50K
53.0,Some-college,Married-civ-spouse,Husband,,>50K
23.0,Some-college,Married-civ-spouse,Husband,Male,
26.0,,Never-married,,Male,<=50K
21.0,,Married-civ-spouse,Husband,Male,<=50K
34.0,,Divorced,,,<=50K
43.0,11th,Married-civ-spouse,Husband,,
,Some-college,,Other-relative,Male,
41.0,,Married-civ-spouse,,,
36.0,HS-grad,Married-civ-spouse,,Male,<=50K
41.0,,Married-civ-spouse,Wife,,
27.0,,Never-married,Not-in-family,,<=50K
42.0,Some-college,Married-civ-spouse,,Male,
27.0,,Never-married,Own-child,,
41.0,HS-grad,Divorced,Own-child,,<=50K
32.0,,Married-civ-spouse,Other-relative,,
21.0,,,,Male,<=50K
44.0,Bachelors,,Husband,,
29.0,Bachelors,,,,<=50K
19.0,Some-college,,,,<=50K
,Some-college,Never-married,Own-child,Male,<=50K
46.0,HS-grad,Married-civ-spouse,Husband,Male,
38.0,Bachelors,Married-civ-spouse,,,
43.0,Some-college,Never-married,Unmarried,,>50K
54.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
38.0,Masters,Married-civ-spouse,,,
18.0,Some-college,Never-married,Own-child,Male,<=50K
50.0,HS-grad,Married-civ-spouse,Wife,,>50K
30.0,,Married-civ-spouse,,Female,>50K
30.0,9th,Married-civ-spouse,Husband,Male,<=50K
28.0,HS-grad,Never-married,Unmarried,Female,<=50K
26.0,Assoc-voc,Never-married,Not-in-family,Female,<=50K
37.0,Some-college,,,Male,
,HS-grad,Married-civ-spouse,Husband,Male,>50K
64.0,Masters,,Wife,Female,
18.0,HS-grad,Never-married,Own-child,Female,<=50K
30.0,Some-college,,,,<=50K
36.0,Assoc-voc,Married-civ-spouse,Wife,,<=50K
18.0,11th,Never-married,Other-relative,,<=50K
,HS-grad,,Husband,Male,<=50K
49.0,9th,Married-civ-spouse,Husband,Male,<=50K
,HS-grad,Married-civ-spouse,Husband,Male,>50K
37.0,,Married-civ-spouse,Husband,,
30.0,Some-college,,,,
29.0,HS-grad,Divorced,,Female,<=50K
22.0,HS-grad,Never-married,Own-child,,<=50K
25.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
38.0,,Separated,Unmarried,Female,
32.0,Bachelors,Divorced,Unmarried,Female,<=50K
35.0,,,Husband,,<=50K
56.0,Masters,,Husband,,>50K
29.0,Some-college,Divorced,Not-in-family,,<=50K
41.0,,,Husband,,
47.0,HS-grad,Married-civ-spouse,Husband,Male,
23.0,Bachelors,,,Female,
46.0,,Married-civ-spouse,Husband,,>50K
28.0,HS-grad,Never-married,,Male,<=50K
39.0,Bachelors,,Unmarried,Female,
,Some-college,Married-civ-spouse,Wife,,
39.0,,,Husband,Male,
,,Married-civ-spouse,Husband,Male,<=50K
37.0,,Married-civ-spouse,,Male,
57.0,Prof-school,Never-married,Not-in-family,Female,
22.0,Some-college,Never-married,Not-in-family,Female,
24.0,Assoc-voc,Never-married,Not-in-family,,>50K
19.0,Some-college,Never-married,Own-child,Male,<=50K
55.0,Assoc-acdm,,Unmarried,,<=50K
37.0,,Married-civ-spouse,,Male,
37.0,Some-college,Never-married,Unmarried,Female,<=50K
28.0,,Married-civ-spouse,Husband,,
27.0,HS-grad,,,,<=50K
40.0,,Never-married,Unmarried,,<=50K
51.0,,,Own-child,,
52.0,Assoc-voc,Married-civ-spouse,Husband,Male,
74.0,Some-college,Widowed,,,<=50K
49.0,Some-college,Married-civ-spouse,Husband,,>50K
20.0,Some-college,Never-married,Own-child,Female,<=50K
40.0,Some-college,,,Female,<=50K
80.0,,,,Male,
63.0,,Married-civ-spouse,Husband,,<=50K
,HS-grad,Divorced,,Male,
51.0,Some-college,Divorced,Unmarried,Female,<=50K
23.0,,,Not-in-family,Female,<=50K
66.0,HS-grad,Widowed,Not-in-family,,<=50K
33.0,HS-grad,Married-civ-spouse,Husband,,<=50K
49.0,HS-grad,Married-civ-spouse,Husband,,
20.0,,,Not-in-family,,
33.0,,Married-civ-spouse,Husband,Male,
26.0,Some-college,Married-AF-spouse,Husband,Male,
52.0,,Married-civ-spouse,Husband,Male,
33.0,,Married-civ-spouse,,,
47.0,Bachelors,Divorced,,,
23.0,HS-grad,Never-married,,Male,
53.0,Assoc-acdm,Married-civ-spouse,Husband,Male,<=50K
19.0,Some-college,Never-married,,Male,<=50K
26.0,,Never-married,Not-in-family,,
53.0,7th-8th,Married-civ-spouse,Husband,Male,>50K
65.0,HS-grad,Never-married,,Male,<=50K
68.0,Bachelors,Married-civ-spouse,Husband,,
30.0,10th,Never-married,Other-relative,Male,
28.0,11th,Married-civ-spouse,Husband,,<=50K
54.0,10th,Married-civ-spouse,Husband,,<=50K
30.0,HS-grad,,Own-child,Male,
22.0,Some-college,Never-married,Own-child,,<=50K
25.0,HS-grad,Never-married,Own-child,,<=50K
19.0,11th,Never-married,,Male,<=50K
19.0,Some-college,,,Female,
32.0,Prof-school,,Husband,Male,>50K
23.0,Bachelors,,Own-child,Female,
51.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
,,Married-civ-spouse,,Male,
46.0,Bachelors,Never-married,Not-in-family,,<=50K
38.0,Some-college,,,Female,<=50K
26.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
46.0,HS-grad,Divorced,Not-in-family,,<=50K
25.0,Bachelors,Never-married,,,<=50K
20.0,Some-college,Never-married,Own-child,Female,
,Masters,Married-civ-spouse,Other-relative,Male,<=50K
51.0,Masters,Married-civ-spouse,,Male,>50K
40.0,Some-college,,Husband,Male,
24.0,,Never-married,Not-in-family,Female,<=50K
,Bachelors,Never-married,Unmarried,Male,
31.0,Assoc-voc,Married-civ-spouse,Wife,Female,<=50K
54.0,HS-grad,Divorced,,,
,Assoc-acdm,,,Male,<=50K
19.0,,Never-married,,Male,<=50K
21.0,HS-grad,,,Male,
21.0,10th,Married-civ-spouse,Husband,,<=50K
23.0,Some-college,,Husband,,
37.0,Some-college,Never-married,Not-in-family,,
40.0,Masters,,Husband,,
57.0,HS-grad,,Husband,,<=50K
48.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
24.0,11th,Married-civ-spouse,,Male,<=50K
43.0,,Married-civ-spouse,Husband,Male,<=50K
32.0,,,Not-in-family,,
40.0,HS-grad,Never-married,,,
,Prof-school,,,,
49.0,HS-grad,Divorced,Not-in-family,Male,<=50K
45.0,Some-college,,Husband,,<=50K
62.0,HS-grad,Never-married,Not-in-family,,<=50K
29.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
49.0,HS-grad,,Unmarried,Female,<=50K
,Some-college,Divorced,Unmarried,Female,
20.0,,Never-married,,Male,<=50K
37.0,Bachelors,,Own-child,Male,<=50K
,Bachelors,Married-civ-spouse,Husband,Male,
29.0,,,,Female,<=50K
44.0,,Married-civ-spouse,Wife,,
28.0,Some-college,Separated,Unmarried,,
38.0,Some-college,Never-married,Not-in-family,,<=50K
45.0,,Married-civ-spouse,Husband,,
,,Never-married,Own-child,,
19.0,Some-college,Never-married,,,<=50K
20.0,,Never-married,Not-in-family,,<=50K
60.0,HS-grad,Married-civ-spouse,Husband,,<=50K
30.0,HS-grad,Never-married,Not-in-family,Female,<=50K
22.0,,,Not-in-family,,<=50K
51.0,Some-college,Divorced,Not-in-family,,<=50K
31.0,,Never-married,Unmarried,,
48.0,HS-grad,,Unmarried,,<=50K
43.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
51.0,,Divorced,Unmarried,Male,<=50K
41.0,Assoc-voc,Married-civ-spouse,Husband,Male,
62.0,Assoc-voc,,,Male,
50.0,,Married-civ-spouse,Husband,Male,
46.0,HS-grad,Married-civ-spouse,Wife,,
54.0,Some-college,Married-civ-spouse,Husband,Male,
68.0,,Married-civ-spouse,,,
23.0,,Never-married,Not-in-family,,
49.0,,,Not-in-family,,
24.0,,Married-civ-spouse,Husband,,
30.0,HS-grad,Married-civ-spouse,Husband,Male,
38.0,HS-grad,Married-civ-spouse,Husband,,<=50K
34.0,,Never-married,Not-in-family,Female,
22.0,Some-college,Never-married,Own-child,Male,
30.0,,Separated,Not-in-family,,<=50K
61.0,,Married-civ-spouse,Husband,Male,
36.0,,Divorced,Unmarried,,
51.0,,Married-civ-spouse,,,<=50K
43.0,5th-6th,,Wife,Female,>50K
54.0,,Married-civ-spouse,,,>50K
63.0,HS-grad,Widowed,Not-in-family,Female,<=50K
51.0,Some-college,,Husband,Male,>50K
63.0,10th,,Husband,Male,
51.0,Masters,Married-civ-spouse,Husband,Male,>50K
27.0,,Divorced,Own-child,,<=50K
35.0,,Married-civ-spouse,Husband,Male,
,Bachelors,Married-civ-spouse,Wife,Female,
46.0,HS-grad,Separated,Unmarried,,
53.0,,Married-civ-spouse,Husband,Male,
26.0,Some-college,Divorced,Own-child,Male,
,HS-grad,Never-married,Own-child,Male,<=50K
39.0,,,Husband,Male,>50K
50.0,HS-grad,,,Male,
54.0,,Married-civ-spouse,Husband,Male,
62.0,Some-college,Married-civ-spouse,,Female,>50K
57.0,,Divorced,Unmarried,,
19.0,Some-college,Never-married,Own-child,Male,
29.0,HS-grad,Never-married,,,
20.0,HS-grad,Never-married,Other-relative,,<=50K
53.0,,Married-civ-spouse,Husband,Male,
18.0,Some-college,Never-married,,,
22.0,Some-college,Never-married,Own-child,Male,
,,Never-married,Not-in-family,Male,<=50K
69.0,,,Husband,Male,
56.0,7th-8th,Married-civ-spouse,,Male,<=50K
,Bachelors,Married-civ-spouse,Husband,Male,<=50K
28.0,,Never-married,Not-in-family,Male,
28.0,,Married-civ-spouse,Husband,Male,
33.0,HS-grad,,Husband,,>50K
,HS-grad,Divorced,Unmarried,Female,<=50K
61.0,HS-grad,Married-civ-spouse,Husband,,
49.0,Bachelors,Married-civ-spouse,Husband,,<=50K
48.0,Some-college,Married-civ-spouse,Husband,Male,
32.0,,Married-civ-spouse,Husband,Male,<=50K
51.0,HS-grad,,Husband,Male,>50K
27.0,Bachelors,Never-married,Not-in-family,,
19.0,Some-college,Never-married,Own-child,,<=50K
47.0,,Married-civ-spouse,,Male,<=50K
25.0,,Never-married,Own-child,Male,
72.0,Some-college,,Husband,Male,<=50K
29.0,,Divorced,Not-in-family,,<=50K
22.0,HS-grad,,Own-child,Female,
57.0,,,Husband,Male,<=50K
50.0,,Married-civ-spouse,Husband,Male,
45.0,Some-college,Married-civ-spouse,,,<=50K
52.0,,,Not-in-family,Male,
,,Married-civ-spouse,Husband,,>50K
36.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
46.0,,Married-civ-spouse,Husband,,>50K
20.0,HS-grad,Never-married,Own-child,Female,<=50K
75.0,5th-6th,Widowed,Unmarried,Male,
,HS-grad,Married-civ-spouse,Husband,Male,
28.0,HS-grad,Married-civ-spouse,,,
53.0,Masters,Divorced,Not-in-family,Female,<=50K
17.0,,Never-married,Own-child,,
46.0,,Divorced,Unmarried,Female,
39.0,,Separated,Not-in-family,Female,
38.0,,Divorced,Unmarried,Male,
36.0,HS-grad,Married-civ-spouse,Husband,,
63.0,Bachelors,Never-married,,Female,
28.0,1st-4th,Married-civ-spouse,Husband,,<=50K
28.0,,Never-married,,Male,<=50K
49.0,HS-grad,,,Female,<=50K
43.0,Some-college,Married-civ-spouse,Husband,,
38.0,Bachelors,Married-civ-spouse,Husband,Male,
39.0,,Never-married,,Male,
42.0,,Divorced,Not-in-family,,<=50K
,HS-grad,Married-civ-spouse,Husband,Male,<=50K
45.0,HS-grad,Separated,,,
,,,Unmarried,Female,
24.0,Bachelors,Never-married,,Male,<=50K
30.0,,,,Male,>50K
44.0,Some-college,,,Male,<=50K
40.0,HS-grad,Married-civ-spouse,Husband,,<=50K
30.0,HS-grad,Never-married,Other-relative,Female,<=50K
42.0,Masters,Divorced,,Female,<=50K
52.0,Assoc-voc,Divorced,,Female,<=50K
42.0,Some-college,Married-civ-spouse,Husband,Male,>50K
,Some-college,Married-civ-spouse,,Male,>50K
43.0,Some-college,Divorced,,,<=50K
62.0,,,Husband,,<=50K
,Assoc-voc,Married-civ-spouse,,Male,<=50K
83.0,HS-grad,Widowed,Not-in-family,Female,
39.0,Bachelors,Married-civ-spouse,Husband,Male,
41.0,HS-grad,,Wife,,<=50K
,Masters,Married-civ-spouse,,,
25.0,11th,Married-civ-spouse,,,<=50K
48.0,11th,,Husband,,<=50K
59.0,Assoc-acdm,Divorced,Not-in-family,Male,<=50K
,Bachelors,Never-married,Not-in-family,Male,<=50K
36.0,9th,,Not-in-family,,
,HS-grad,Never-married,,,<=50K
21.0,,Never-married,Own-child,Female,<=50K
41.0,Some-college,Separated,,Female,
24.0,Bachelors,Never-married,Not-in-family,,
67.0,HS-grad,Married-civ-spouse,Husband,,
24.0,Bachelors,Never-married,Own-child,,
50.0,Bachelors,,Husband,Male,
48.0,Masters,Divorced,Not-in-family,Male,
55.0,Assoc-acdm,Married-civ-spouse,Husband,Male,>50K
,HS-grad,,Not-in-family,,
50.0,Bachelors,Divorced,,,
64.0,10th,Married-civ-spouse,Husband,,>50K
49.0,9th,Divorced,,Male,<=50K
20.0,HS-grad,Never-married,,Male,
30.0,HS-grad,,Not-in-family,Female,<=50K
37.0,,Married-civ-spouse,Husband,Male,
52.0,HS-grad,Married-civ-spouse,Husband,,>50K
,Some-college,Never-married,Own-child,Male,<=50K
77.0,HS-grad,Widowed,,,<=50K
19.0,Some-college,Never-married,Own-child,Male,
52.0,,Divorced,Other-relative,Male,>50K
42.0,,,Own-child,Female,
35.0,,Separated,Not-in-family,Female,<=50K
27.0,Some-college,Never-married,Unmarried,Female,
,HS-grad,,Not-in-family,Female,<=50K
37.0,HS-grad,Married-civ-spouse,Husband,Male,
37.0,10th,Married-civ-spouse,,Male,
28.0,7th-8th,Married-civ-spouse,,Male,
63.0,,Married-civ-spouse,Husband,Male,<=50K
19.0,HS-grad,Never-married,Own-child,Male,<=50K
28.0,Bachelors,Never-married,,,<=50K
23.0,Some-college,,Not-in-family,Male,<=50K
44.0,,Never-married,Not-in-family,Female,>50K
31.0,Some-college,,Husband,,>50K
35.0,Bachelors,Never-married,Not-in-family,,
64.0,HS-grad,Divorced,Not-in-family,,<=50K
40.0,HS-grad,,Husband,,
59.0,Assoc-acdm,Divorced,Not-in-family,,<=50K
22.0,Some-college,Never-married,,Female,<=50K
40.0,,,,,<=50K
35.0,,Married-civ-spouse,Husband,,
,,Never-married,Own-child,,
35.0,,Never-married,,Male,
28.0,Some-college,Married-civ-spouse,Husband,,<=50K
28.0,HS-grad,Divorced,Own-child,Male,<=50K
37.0,Some-college,Married-civ-spouse,Husband,,
72.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
25.0,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
37.0,HS-grad,,Unmarried,Female,<=50K
19.0,Some-college,Never-married,,Female,
31.0,Assoc-voc,Divorced,Own-child,Female,
41.0,HS-grad,Never-married,Other-relative,Female,<=50K
31.0,,Married-civ-spouse,Husband,Male,>50K
44.0,HS-grad,Married-civ-spouse,,,<=50K
20.0,,Never-married,,,<=50K
57.0,Some-college,,Husband,Male,<=50K
26.0,HS-grad,,Not-in-family,,
,,Married-civ-spouse,Husband,Male,
29.0,HS-grad,,,Male,
36.0,HS-grad,Married-civ-spouse,,,>50K
,Assoc-voc,Married-civ-spouse,Husband,Male,>50K
21.0,Assoc-acdm,Never-married,Not-in-family,,<=50K
,,Never-married,Not-in-family,,
34.0,Prof-school,Separated,Unmarried,Male,>50K
24.0,Bachelors,Never-married,Own-child,,<=50K
28.0,,Divorced,Not-in-family,,<=50K
35.0,,Separated,,Male,
35.0,HS-grad,Divorced,Not-in-family,Male,
38.0,,Never-married,Not-in-family,,<=50K
44.0,HS-grad,Divorced,Unmarried,Female,<=50K
,Bachelors,Married-civ-spouse,Wife,Female,>50K
57.0,HS-grad,Divorced,Not-in-family,Female,<=50K
19.0,,,Own-child,Female,<=50K
29.0,Assoc-voc,Married-civ-spouse,Husband,,
23.0,HS-grad,,Other-relative,,
50.0,HS-grad,Widowed,Unmarried,Female,<=50K
,Some-college,Married-civ-spouse,Husband,,
28.0,,,Not-in-family,Male,<=50K
44.0,Bachelors,Married-civ-spouse,Husband,,<=50K
29.0,Bachelors,Never-married,Not-in-family,Male,
31.0,,Divorced,Not-in-family,Male,
27.0,Bachelors,Married-civ-spouse,,,
34.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
50.0,,Married-civ-spouse,Husband,Male,>50K
27.0,Some-college,Married-civ-spouse,Husband,Male,
31.0,Assoc-voc,Never-married,Unmarried,Female,<=50K
46.0,,Married-civ-spouse,Husband,,
39.0,,,Own-child,Female,<=50K
40.0,,,Husband,Male,
,,Divorced,Own-child,Male,
18.0,,Never-married,,,<=50K
51.0,HS-grad,Divorced,Not-in-family,Female,<=50K
58.0,HS-grad,Divorced,Not-in-family,Male,<=50K
66.0,HS-grad,Married-civ-spouse,Husband,Male,
36.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
38.0,,Divorced,,Female,<=50K
25.0,Assoc-acdm,,Own-child,Male,
25.0,HS-grad,Never-married,,Female,<=50K
90.0,,Never-married,,Male,<=50K
41.0,Some-college,Divorced,Unmarried,,<=50K
34.0,HS-grad,,,Female,
33.0,Bachelors,Divorced,Unmarried,,
33.0,HS-grad,,,,<=50K
35.0,,Married-civ-spouse,Husband,,>50K
39.0,HS-grad,Never-married,Own-child,Female,
59.0,HS-grad,,Husband,Male,<=50K
19.0,Some-college,Never-married,Own-child,Male,
39.0,HS-grad,,Husband,Male,<=50K
19.0,Some-college,,,,<=50K
27.0,HS-grad,,Own-child,Female,<=50K
52.0,7th-8th,Married-civ-spouse,Husband,Male,
59.0,HS-grad,Divorced,Own-child,Female,<=50K
,Some-college,Divorced,Unmarried,Female,
37.0,,Divorced,Other-relative,Female,<=50K
50.0,10th,Married-civ-spouse,Husband,Male,<=50K
36.0,Bachelors,,,,>50K
34.0,Bachelors,,Husband,,
23.0,Some-college,Never-married,,,
19.0,,Never-married,Own-child,Female,
33.0,HS-grad,Divorced,Not-in-family,,<=50K
27.0,,Never-married,Own-child,Male,<=50K
31.0,Masters,,Husband,Male,
21.0,10th,,Husband,,<=50K
31.0,,Married-civ-spouse,Husband,,
59.0,,Married-civ-spouse,Husband,Male,
40.0,Masters,,,Male,
,11th,Never-married,Own-child,,
47.0,,Married-civ-spouse,Husband,,<=50K
,Bachelors,Never-married,Unmarried,Male,<=50K
57.0,,,Husband,Male,<=50K
51.0,9th,Married-civ-spouse,,Male,
21.0,Some-college,Never-married,Not-in-family,Male,<=50K
30.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
46.0,,Divorced,Not-in-family,,
40.0,,,Not-in-family,Female,
52.0,Preschool,Married-civ-spouse,Not-in-family,Male,<=50K
,,Never-married,Not-in-family,,
90.0,,Widowed,Other-relative,,<=50K
25.0,HS-grad,Never-married,,,<=50K
43.0,Some-college,,Not-in-family,Male,<=50K
38.0,,,Unmarried,Female,
22.0,,Never-married,,,
33.0,Bachelors,,Not-in-family,,<=50K
34.0,Some-college,Married-civ-spouse,,,
65.0,,Married-civ-spouse,,Male,
50.0,HS-grad,Never-married,Own-child,,<=50K
29.0,,Never-married,Not-in-family,,<=50K
25.0,HS-grad,Married-civ-spouse,Husband,,<=50K
54.0,Some-college,Divorced,,,<=50K
49.0,HS-grad,Married-civ-spouse,Husband,Male,
44.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
24.0,9th,Divorced,Own-child,,<=50K
25.0,Bachelors,,Not-in-family,Male,
65.0,HS-grad,Married-civ-spouse,,,<=50K
56.0,,Married-civ-spouse,Husband,Male,<=50K
39.0,Prof-school,,Husband,Male,
23.0,,Never-married,,Female,<=50K
20.0,,Never-married,Not-in-family,Female,<=50K
24.0,,Never-married,Unmarried,Male,<=50K
41.0,Some-college,Married-civ-spouse,Husband,,
40.0,Some-college,,,Male,<=50K
55.0,HS-grad,Married-civ-spouse,,,
38.0,HS-grad,,Unmarried,,<=50K
23.0,,Never-married,Unmarried,,<=50K
44.0,,Married-civ-spouse,Husband,,<=50K
45.0,,,Husband,,
20.0,,Never-married,Own-child,Female,
29.0,HS-grad,Never-married,,,
43.0,HS-grad,Married-civ-spouse,Husband,,
30.0,,Divorced,,,<=50K
28.0,Some-college,,Not-in-family,,
31.0,HS-grad,,Husband,Male,
52.0,HS-grad,Divorced,Unmarried,Female,
36.0,,Married-civ-spouse,Wife,Female,>50K
38.0,HS-grad,,,Male,<=50K
66.0,Some-college,,Husband,Male,
63.0,,Married-civ-spouse,Husband,,<=50K
21.0,Some-college,Never-married,,,
33.0,HS-grad,,Not-in-family,Male,<=50K
46.0,,Divorced,,Female,
20.0,Some-college,Never-married,Own-child,Male,
47.0,Bachelors,Never-married,Not-in-family,Male,<=50K
33.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
66.0,7th-8th,Never-married,Other-relative,,
20.0,,Never-married,Own-child,,
28.0,,Divorced,,Male,<=50K
46.0,,,Unmarried,Female,<=50K
25.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
37.0,HS-grad,Married-civ-spouse,Own-child,Male,<=50K
31.0,9th,Married-civ-spouse,Husband,,
49.0,,Married-civ-spouse,Husband,Male,
22.0,Some-college,Married-spouse-absent,,Male,<=50K
52.0,Assoc-voc,Married-civ-spouse,,,>50K
29.0,Assoc-acdm,Married-civ-spouse,Wife,,<=50K
,11th,Never-married,Own-child,,<=50K
,Some-college,Married-civ-spouse,Husband,,
23.0,Some-college,,Not-in-family,Female,<=50K
27.0,,Married-civ-spouse,,Female,
,10th,Married-civ-spouse,Husband,,<=50K
50.0,HS-grad,Divorced,Unmarried,,
46.0,Masters,,Husband,Male,>50K
